,property_id,property_label,person_count,rank,coverage_%
141,P6578,MutualArt artist ID,16,142,1.6
142,P496,ORCID iD,16,143,1.6
143,P12854,Plex person key,16,144,1.6
144,P12302,Sofascore player ID,16,145,1.6
145,P10207,Folketinget actor ID,15,146,1.5
146,P3620,BWF bwfbadminton.com player ID,15,147,1.5
147,P2729,BWF tournamentsoftware.com player ID (archived),15,148,1.5
148,P8041,DR music artist ID,15,149,1.5
149,P6634,LinkedIn personal profile ID,15,150,1.5
150,P9466,Gyldendals Teaterleksikon ID,15,151,1.5
151,P12338,FIBA.basketball people ID,15,152,1.5
152,P2019,AllMovie person ID,14,153,1.4
